publisher	journal	issn	role	editor	orcid	affiliation	url	date
John Benjamins	AILA Review	1461-0213	Editor	Ee-Ling Low	NA	National Institute of Education, Singapore	https://benjamins.com/catalog/aila	2022-01-20
John Benjamins	AILA Review	1461-0213	Editorial Board	Branca Falabella Fabrício	NA	Federal University of Rio de Janeiro	https://benjamins.com/catalog/aila	2022-01-20
John Benjamins	AILA Review	1461-0213	Editorial Board	Limin Jin	NA	Beijing Foreign Studies University	https://benjamins.com/catalog/aila	2022-01-20
John Benjamins	AILA Review	1461-0213	Editorial Board	Rosa M. Manchón	0000-0001-8458-168X	University of Murcia	https://benjamins.com/catalog/aila	2022-01-20
John Benjamins	AILA Review	1461-0213	Editorial Board	Barbara Seidlhofer	NA	University of Vienna	https://benjamins.com/catalog/aila	2022-01-20
John Benjamins	The Agenda Setting Journal | Theory, Practice, Critique	2452-0063	Editor	Chris J. Vargo	NA	University of Colorado Boulder, USA	https://benjamins.com/catalog/asj	2022-01-20
John Benjamins	The Agenda Setting Journal | Theory, Practice, Critique	2452-0063	Associate Editor	Annelise Russell	0000-0002-8417-1709	University of Kentucky, USA	https://benjamins.com/catalog/asj	2022-01-20
John Benjamins	The Agenda Setting Journal | Theory, Practice, Critique	2452-0063	Editorial Board	Lindita Camaj	0000-0002-5934-6159	The University of Houston, USA	https://benjamins.com/catalog/asj	2022-01-20
John Benjamins	The Agenda Setting Journal | Theory, Practice, Critique	2452-0063	Editorial Board	Salma I. Ghanem	0000-0001-8959-9563	DePaul University, USA	https://benjamins.com/catalog/asj	2022-01-20
John Benjamins	The Agenda Setting Journal | Theory, Practice, Critique	2452-0063	Editorial Board	Lei Guo	NA	Boston University, USA	https://benjamins.com/catalog/asj	2022-01-20
John Benjamins	The Agenda Setting Journal | Theory, Practice, Critique	2452-0063	Editorial Board	Tom Johnson	NA	The University of Texas at Austin, USA 	https://benjamins.com/catalog/asj	2022-01-20
John Benjamins	The Agenda Setting Journal | Theory, Practice, Critique	2452-0063	Editorial Board	Maxwell E. McCombs	0000-0001-5292-0958	The University of Texas at Austin, USA	https://benjamins.com/catalog/asj	2022-01-20
John Benjamins	The Agenda Setting Journal | Theory, Practice, Critique	2452-0063	Editorial Board	Sharon Meraz	NA	University of Illinois at Chicago, USA	https://benjamins.com/catalog/asj	2022-01-20
John Benjamins	The Agenda Setting Journal | Theory, Practice, Critique	2452-0063	Editorial Board	Tania Rosas-Moreno	0000-0002-6257-7871	Loyola University Maryland, USA	https://benjamins.com/catalog/asj	2022-01-20
John Benjamins	The Agenda Setting Journal | Theory, Practice, Critique	2452-0063	Editorial Board	Donald L. Shaw	NA	The University of North Carolina at Chapel Hill, USA	https://benjamins.com/catalog/asj	2022-01-20
John Benjamins	The Agenda Setting Journal | Theory, Practice, Critique	2452-0063	Editorial Board	David Weaver	NA	Indiana University Bloomington, USA	https://benjamins.com/catalog/asj	2022-01-20
John Benjamins	Applied Pragmatics	NA	Editors	Zia Tajeddin	0000-0002-0430-6408	Tarbiat Modares University	https://benjamins.com/catalog/ap	2022-01-20
John Benjamins	Applied Pragmatics	NA	Editors	Naoko Taguchi	0000-0002-4099-9678	Northern Arizona University	https://benjamins.com/catalog/ap	2022-01-20
John Benjamins	Applied Pragmatics	NA	Associate Editors	Minoo Alemi	0000-0001-9703-831X	IAU West Tehran Branch	https://benjamins.com/catalog/ap	2022-01-20
John Benjamins	Applied Pragmatics	NA	Associate Editors	Anne Barron	0000-0003-2962-7985	Leuphana University of Lüneburg	https://benjamins.com/catalog/ap	2022-01-20
John Benjamins	Applied Pragmatics	NA	Associate Editors	Zohreh R. Eslami	0000-0003-2969-5056	Texas A&amp;M University	https://benjamins.com/catalog/ap	2022-01-20
John Benjamins	Applied Pragmatics	NA	Managing Editor	Zohreh R. Eslami	0000-0003-2969-5056	Texas A&amp;M University	https://benjamins.com/catalog/ap	2022-01-20
John Benjamins	Applied Pragmatics	NA	Advisory Board	Eva Alcón-Soler	0000-0002-2261-5378	Catedràtica d'Universitat	https://benjamins.com/catalog/ap	2022-01-20
John Benjamins	Applied Pragmatics	NA	Advisory Board	Andrew D. Cohen	NA	University of Minnesota	https://benjamins.com/catalog/ap	2022-01-20
John Benjamins	Applied Pragmatics	NA	Advisory Board	Gabriele Kasper	NA	University of Hawaii at Manoa	https://benjamins.com/catalog/ap	2022-01-20
John Benjamins	Applied Pragmatics	NA	Advisory Board	Virginia LoCastro	NA	Washington DC	https://benjamins.com/catalog/ap	2022-01-20
John Benjamins	Applied Pragmatics	NA	Editorial Board	Saad Mahammed Al-Gahtani	NA	King Saud University	https://benjamins.com/catalog/ap	2022-01-20
John Benjamins	Applied Pragmatics	NA	Editorial Board	Ahmad Al-Issa	NA	American University of Sharjah	https://benjamins.com/catalog/ap	2022-01-20
John Benjamins	Applied Pragmatics	NA	Editorial Board	Rémi A. van Compernolle	NA	Carnegie Mellon University	https://benjamins.com/catalog/ap	2022-01-20
John Benjamins	Applied Pragmatics	NA	Editorial Board	J. César Félix-Brasdefer	0000-0003-0191-486X	Indiana University	https://benjamins.com/catalog/ap	2022-01-20
John Benjamins	Applied Pragmatics	NA	Editorial Board	Marta González-Lloret	NA	University of Hawaii at Manoa	https://benjamins.com/catalog/ap	2022-01-20
John Benjamins	Applied Pragmatics	NA	Editorial Board	Zhu Hua	0000-0003-1500-3047	University of Birmingham	https://benjamins.com/catalog/ap	2022-01-20
John Benjamins	Applied Pragmatics	NA	Editorial Board	Noriko Ishihara	NA	Hosei University	https://benjamins.com/catalog/ap	2022-01-20
John Benjamins	Applied Pragmatics	NA	Editorial Board	Shuai Li	NA	Georgia State University	https://benjamins.com/catalog/ap	2022-01-20
John Benjamins	Applied Pragmatics	NA	Editorial Board	Thi Thuy Minh Nguyen	0000-0001-7820-751X	University of Otago	https://benjamins.com/catalog/ap	2022-01-20
John Benjamins	Applied Pragmatics	NA	Editorial Board	María Elena Placencia	0000-0002-5471-4661	University of London	https://benjamins.com/catalog/ap	2022-01-20
John Benjamins	Applied Pragmatics	NA	Editorial Board	Wei Ren	0000-0001-6121-1846	Beihang University	https://benjamins.com/catalog/ap	2022-01-20
John Benjamins	Applied Pragmatics	NA	Editorial Board	Ariadna Sánchez Hernández	000%20-001%20-231%20-927%20	Universidad Complutense de Madrid	https://benjamins.com/catalog/ap	2022-01-20
John Benjamins	Applied Pragmatics	NA	Editorial Board	Rachel L. Shively	0000-0001-7878-3576	Illinois State University	https://benjamins.com/catalog/ap	2022-01-20
John Benjamins	Applied Pragmatics	NA	Editorial Board	Julie M. Sykes	NA	University of Oregon	https://benjamins.com/catalog/ap	2022-01-20
John Benjamins	Applied Pragmatics	NA	Editorial Board	Satomi Takahashi	NA	Rikkyo University	https://benjamins.com/catalog/ap	2022-01-20
John Benjamins	Applied Pragmatics	NA	Editorial Board	Soo Jung Youn	NA	Daegu National University of Education, Korea	https://benjamins.com/catalog/ap	2022-01-20
John Benjamins	Asia-Pacific Language Variation	2215-1354	Editor	Shobha Satyanath	0000-0002-1788-8670	University of Delhi, India	https://benjamins.com/catalog/aplv	2022-01-20
John Benjamins	Asia-Pacific Language Variation	2215-1354	Associate Editors	Miriam Meyerhoff	0000-0002-2599-1870	University of Oxford, UK	https://benjamins.com/catalog/aplv	2022-01-20
John Benjamins	Asia-Pacific Language Variation	2215-1354	Associate Editors	Maya Ravindranath Abtahian	NA	University of Rochester, USA	https://benjamins.com/catalog/aplv	2022-01-20
John Benjamins	Asia-Pacific Language Variation	2215-1354	Associate Editors	James N. Stanford	NA	Dartmouth College, USA	https://benjamins.com/catalog/aplv	2022-01-20
John Benjamins	Asia-Pacific Language Variation	2215-1354	Editorial Board	Felicity Meakins	0000-0003-4487-4351	University of Queensland, Australia	https://benjamins.com/catalog/aplv	2022-01-20
John Benjamins	Asia-Pacific Language Variation	2215-1354	Editorial Board	Naomi Nagy	0000-0002-2895-2447	University of Toronto. Canada	https://benjamins.com/catalog/aplv	2022-01-20
John Benjamins	Asia-Pacific Language Variation	2215-1354	Editorial Board	Carmel O'Shannessy	0000-0003-4914-9693	Australian National University, Australia	https://benjamins.com/catalog/aplv	2022-01-20
John Benjamins	Asia-Pacific Language Variation	2215-1354	Editorial Board	Nick Palfreyman	NA	University of Central Lancashire, UK	https://benjamins.com/catalog/aplv	2022-01-20
John Benjamins	Asia-Pacific Language Variation	2215-1354	Editorial Board	Victoria Rau	0000-0002-3152-0426	National Chung Cheng University, Taiwan	https://benjamins.com/catalog/aplv	2022-01-20
John Benjamins	Asia-Pacific Language Variation	2215-1354	Editorial Board	Gillian Sankoff	0000-0003-1052-592X	University of Pennsylvania, USA	https://benjamins.com/catalog/aplv	2022-01-20
John Benjamins	Asia-Pacific Language Variation	2215-1354	Editorial Board	Devyani Sharma	NA	Queen Mary University of London, UK	https://benjamins.com/catalog/aplv	2022-01-20
John Benjamins	Asia-Pacific Language Variation	2215-1354	Editorial Board	Rebecca Lurie Starr	NA	National University of Singapore, Singapore	https://benjamins.com/catalog/aplv	2022-01-20
John Benjamins	Asia-Pacific Language Variation	2215-1354	Editorial Board	James A. Walker	NA	La Trobe University, Australia	https://benjamins.com/catalog/aplv	2022-01-20
John Benjamins	Asia-Pacific Language Variation	2215-1354	Editorial Board	Jingwei Zhang	NA	University of Macau, Macao	https://benjamins.com/catalog/aplv	2022-01-20
John Benjamins	Asian Languages and Linguistics	2665-9336	Editors	Danqing Liu	NA	Chinese Academy of Social Sciences / Shenzhen University	https://benjamins.com/catalog/alal	2022-01-20
John Benjamins	Asian Languages and Linguistics	2665-9336	Editors	Ailan Fu	NA	Beijing Normal University	https://benjamins.com/catalog/alal	2022-01-20
John Benjamins	Asian Languages and Linguistics	2665-9336	Editors	Gong Cheng	NA	Zhejiang University	https://benjamins.com/catalog/alal	2022-01-20
John Benjamins	Asian Languages and Linguistics	2665-9336	Assistant Editor	Chia-Jung Pan	NA	Beijing Normal University	https://benjamins.com/catalog/alal	2022-01-20
John Benjamins	Asian Languages and Linguistics	2665-9336	Editorial Board	Anvita Abbi	NA	Goa University	https://benjamins.com/catalog/alal	2022-01-20
John Benjamins	Asian Languages and Linguistics	2665-9336	Editorial Board	Alexandra Y. Aikhenvald	0000-0003-1866-7869	Central Queensland University	https://benjamins.com/catalog/alal	2022-01-20
John Benjamins	Asian Languages and Linguistics	2665-9336	Editorial Board	Walter Bisang	NA	Johannes Gutenberg University Mainz	https://benjamins.com/catalog/alal	2022-01-20
John Benjamins	Asian Languages and Linguistics	2665-9336	Editorial Board	Bernard Comrie	0000-0003-0487-7005	University of California, Santa Barbara	https://benjamins.com/catalog/alal	2022-01-20
John Benjamins	Asian Languages and Linguistics	2665-9336	Editorial Board	Gabi Danon	NA	Bar-Ilan University	https://benjamins.com/catalog/alal	2022-01-20
John Benjamins	Asian Languages and Linguistics	2665-9336	Editorial Board	R.M.W. Dixon	NA	Central Queensland University	https://benjamins.com/catalog/alal	2022-01-20
John Benjamins	Asian Languages and Linguistics	2665-9336	Editorial Board	N.J. Enfield	NA	The University of Sydney	https://benjamins.com/catalog/alal	2022-01-20
John Benjamins	Asian Languages and Linguistics	2665-9336	Editorial Board	Andrey Filchenko	NA	Nazarbayev University	https://benjamins.com/catalog/alal	2022-01-20
John Benjamins	Asian Languages and Linguistics	2665-9336	Editorial Board	Jianhua Hu	NA	Chinese Academy of Social Sciences	https://benjamins.com/catalog/alal	2022-01-20
John Benjamins	Asian Languages and Linguistics	2665-9336	Editorial Board	Chenglong Huang	NA	Chinese Academy of Social Sciences	https://benjamins.com/catalog/alal	2022-01-20
John Benjamins	Asian Languages and Linguistics	2665-9336	Editorial Board	Xing Huang	NA	Beijing Normal University	https://benjamins.com/catalog/alal	2022-01-20
John Benjamins	Asian Languages and Linguistics	2665-9336	Editorial Board	Randy J. LaPolla	0000-0002-6100-6196	Beijing Normal University	https://benjamins.com/catalog/alal	2022-01-20
John Benjamins	Asian Languages and Linguistics	2665-9336	Editorial Board	Chungmin Lee	NA	Seoul National University &amp; The National Academy of Sciences, Republic of Korea	https://benjamins.com/catalog/alal	2022-01-20
John Benjamins	Asian Languages and Linguistics	2665-9336	Editorial Board	Thomas Hun-Tak Lee	NA	The Chinese University of Hong Kong	https://benjamins.com/catalog/alal	2022-01-20
John Benjamins	Asian Languages and Linguistics	2665-9336	Editorial Board	Chinfa Lien	NA	National Tsing Hua University	https://benjamins.com/catalog/alal	2022-01-20
John Benjamins	Asian Languages and Linguistics	2665-9336	Editorial Board	Haihua Pan	NA	The Chinese University of Hong Kong	https://benjamins.com/catalog/alal	2022-01-20
John Benjamins	Asian Languages and Linguistics	2665-9336	Editorial Board	Jungku Park	NA	Seoul National University	https://benjamins.com/catalog/alal	2022-01-20
John Benjamins	Asian Languages and Linguistics	2665-9336	Editorial Board	Alain Peyraube	NA	The French National Centre for Scientific Research	https://benjamins.com/catalog/alal	2022-01-20
John Benjamins	Asian Languages and Linguistics	2665-9336	Editorial Board	Yukinori Takubo	NA	National Institute for Japanese Language and Linguistics	https://benjamins.com/catalog/alal	2022-01-20
John Benjamins	Asian Languages and Linguistics	2665-9336	Editorial Board	Fuxiang Wu	NA	Beijing Language and Culture University	https://benjamins.com/catalog/alal	2022-01-20
John Benjamins	Asian Languages and Linguistics	2665-9336	Editorial Board	Abdurishid Yakup	NA	Minzu University of China	https://benjamins.com/catalog/alal	2022-01-20
John Benjamins	Asian Languages and Linguistics	2665-9336	Editorial Board	Hongming Zhang	NA	Macau University of Science and Technology	https://benjamins.com/catalog/alal	2022-01-20
John Benjamins	Asian Languages and Linguistics	2665-9336	Editorial Assistant	Xiaoyu Lu	NA	Beijing Normal University	https://benjamins.com/catalog/alal	2022-01-20
John Benjamins	Australian Review of Applied Linguistics	NA	Editor-in-Chief	Sender Dovchin	NA	Curtin University	https://benjamins.com/catalog/aral	2022-01-20
John Benjamins	Australian Review of Applied Linguistics	NA	Editor	Rhonda Oliver	NA	Curtin University	https://benjamins.com/catalog/aral	2022-01-20
John Benjamins	Australian Review of Applied Linguistics	NA	Review Editor	Julian Chen	0000-0001-7788-0462	Curtin University	https://benjamins.com/catalog/aral	2022-01-20
John Benjamins	Australian Review of Applied Linguistics	NA	Editorial Assistant	Tatiana Bogachenko	NA	Curtin University	https://benjamins.com/catalog/aral	2022-01-20
John Benjamins	Australian Review of Applied Linguistics	NA	Editorial Board	Gary Barkhuizen	NA	University of Auckland	https://benjamins.com/catalog/aral	2022-01-20
John Benjamins	Australian Review of Applied Linguistics	NA	Editorial Board	Chris Davison	NA	University of New South Wales	https://benjamins.com/catalog/aral	2022-01-20
John Benjamins	Australian Review of Applied Linguistics	NA	Editorial Board	Andy Kirkpatrick	0000-0002-4470-7089	Griffith University	https://benjamins.com/catalog/aral	2022-01-20
John Benjamins	Australian Review of Applied Linguistics	NA	Editorial Board	Ute Knoch	NA	University of Melbourne	https://benjamins.com/catalog/aral	2022-01-20
John Benjamins	Australian Review of Applied Linguistics	NA	Editorial Board	Li Wei	0000-0002-2015-7262	University College London	https://benjamins.com/catalog/aral	2022-01-20
John Benjamins	Australian Review of Applied Linguistics	NA	Editorial Board	Joseph Lo Bianco	NA	University of Melbourne	https://benjamins.com/catalog/aral	2022-01-20
John Benjamins	Australian Review of Applied Linguistics	NA	Editorial Board	Ian G. Malcolm	NA	Edith Cowan University	https://benjamins.com/catalog/aral	2022-01-20
John Benjamins	Australian Review of Applied Linguistics	NA	Editorial Board	Gillian S. Dr. Martin	NA	Trinity College Dublin	https://benjamins.com/catalog/aral	2022-01-20
John Benjamins	Australian Review of Applied Linguistics	NA	Editorial Board	Howard Nicholas	NA	La Trobe University	https://benjamins.com/catalog/aral	2022-01-20
John Benjamins	Australian Review of Applied Linguistics	NA	Editorial Board	Lourdes Ortega	0000-0003-4533-6547	Georgetown University	https://benjamins.com/catalog/aral	2022-01-20
John Benjamins	Australian Review of Applied Linguistics	NA	Editorial Board	Alison Phipps	NA	University of Glasgow	https://benjamins.com/catalog/aral	2022-01-20
John Benjamins	Australian Review of Applied Linguistics	NA	Editorial Board	Ingrid Piller	NA	Macquarie University	https://benjamins.com/catalog/aral	2022-01-20
John Benjamins	Australian Review of Applied Linguistics	NA	Editorial Board	Angela Scarino	NA	University of South Australia	https://benjamins.com/catalog/aral	2022-01-20
John Benjamins	Australian Review of Applied Linguistics	NA	Editorial Board	Lawrence Jun Zhang	0000-0003-1025-1746	University of Auckland	https://benjamins.com/catalog/aral	2022-01-20
John Benjamins	Babel | Revue internationale de la traduction / International Journal of Translation	0521-9744	Editor-in-Chief	Yifeng Sun	0000-0002-6092-6185	Macao, China	https://benjamins.com/catalog/babel	2022-01-20
John Benjamins	Babel | Revue internationale de la traduction / International Journal of Translation	0521-9744	Co-Editor-in-Chief	Audrey Louckx	NA	Mons, Belgium	https://benjamins.com/catalog/babel	2022-01-20
John Benjamins	Babel | Revue internationale de la traduction / International Journal of Translation	0521-9744	Managing Editor	Chris Song Zijiang	0000-0002-8913-8940	Lingnan University	https://benjamins.com/catalog/babel	2022-01-20
John Benjamins	Babel | Revue internationale de la traduction / International Journal of Translation	0521-9744	Publication Director	Kevin Quirk	NA	Nøtterøy, Norway	https://benjamins.com/catalog/babel	2022-01-20
John Benjamins	Babel | Revue internationale de la traduction / International Journal of Translation	0521-9744	Members of Standing Committee	Andrew Evans	NA	Itzig, Luxemburg	https://benjamins.com/catalog/babel	2022-01-20
John Benjamins	Babel | Revue internationale de la traduction / International Journal of Translation	0521-9744	Members of Standing Committee	Annette Schiller	NA	Dublin, Ireland	https://benjamins.com/catalog/babel	2022-01-20
John Benjamins	Babel | Revue internationale de la traduction / International Journal of Translation	0521-9744	Founding Editor	Pierre-François Caillé †	NA	Paris, France	https://benjamins.com/catalog/babel	2022-01-20
John Benjamins	Babel | Revue internationale de la traduction / International Journal of Translation	0521-9744	Editorial Board	Sarah Bawa Mason	0000-0001-8045-1183	University of Portsmouth	https://benjamins.com/catalog/babel	2022-01-20
John Benjamins	Babel | Revue internationale de la traduction / International Journal of Translation	0521-9744	Editorial Board	Anne-Marie Beukes	0000-0003-0121-8442	University of Johannesburg	https://benjamins.com/catalog/babel	2022-01-20
John Benjamins	Babel | Revue internationale de la traduction / International Journal of Translation	0521-9744	Editorial Board	Sarah Bordes	NA	ISIT Paris	https://benjamins.com/catalog/babel	2022-01-20
John Benjamins	Babel | Revue internationale de la traduction / International Journal of Translation	0521-9744	Editorial Board	Laura Burian	NA	Middlebury Institute of International Studies at Monterey	https://benjamins.com/catalog/babel	2022-01-20
John Benjamins	Babel | Revue internationale de la traduction / International Journal of Translation	0521-9744	Editorial Board	Maria Calzada Pérez	0000-0003-0830-4837	Universitat Jaume I	https://benjamins.com/catalog/babel	2022-01-20
John Benjamins	Babel | Revue internationale de la traduction / International Journal of Translation	0521-9744	Editorial Board	Andrew K.F. Cheung	0000-0003-0848-1980	Hong Kong Polytechnic University	https://benjamins.com/catalog/babel	2022-01-20
John Benjamins	Babel | Revue internationale de la traduction / International Journal of Translation	0521-9744	Editorial Board	Christine Durban	NA	Société française des traducteurs (SFT) &amp; Fellow, Institute of Translation and Interpreting (ITI)	https://benjamins.com/catalog/babel	2022-01-20
John Benjamins	Babel | Revue internationale de la traduction / International Journal of Translation	0521-9744	Editorial Board	Olga Egorova	NA	Moscow State Linguistic University &amp; Astrakhan State University	https://benjamins.com/catalog/babel	2022-01-20
John Benjamins	Babel | Revue internationale de la traduction / International Journal of Translation	0521-9744	Editorial Board	Izabel E. T. de V. Souza	0000-0001-8446-6884	Miami Dade College	https://benjamins.com/catalog/babel	2022-01-20
John Benjamins	Babel | Revue internationale de la traduction / International Journal of Translation	0521-9744	Editorial Board	Yves Gambier	0000-0002-1858-4281	University of Turku &amp; Kaunas University of Technology (KTU), Lithuania 	https://benjamins.com/catalog/babel	2022-01-20
John Benjamins	Babel | Revue internationale de la traduction / International Journal of Translation	0521-9744	Editorial Board	Nikolay Garbovskiy	0000-0001-9267-3365	Académie de l’Éducation de Russie &amp; Université d’État Lomonossov de Moscou	https://benjamins.com/catalog/babel	2022-01-20
John Benjamins	Babel | Revue internationale de la traduction / International Journal of Translation	0521-9744	Editorial Board	Adolfo Gentile	NA	Monash University	https://benjamins.com/catalog/babel	2022-01-20
John Benjamins	Babel | Revue internationale de la traduction / International Journal of Translation	0521-9744	Editorial Board	Juliane House	NA	Hellenic American University &amp; University of Hamburg	https://benjamins.com/catalog/babel	2022-01-20
John Benjamins	Babel | Revue internationale de la traduction / International Journal of Translation	0521-9744	Editorial Board	Youyi Huang	0000-0003-0366-5318	Translators Association of China (TAC)	https://benjamins.com/catalog/babel	2022-01-20
John Benjamins	Babel | Revue internationale de la traduction / International Journal of Translation	0521-9744	Editorial Board	Jean-Francois Joly	0000-0001-7784-578X	Ordre des traducteurs, terminologues et interprètes agréés du Québec (OTTIAQ)	https://benjamins.com/catalog/babel	2022-01-20
John Benjamins	Babel | Revue internationale de la traduction / International Journal of Translation	0521-9744	Editorial Board	Mira Kim	0000-0002-3807-692X	The University of New South Wales	https://benjamins.com/catalog/babel	2022-01-20
John Benjamins	Babel | Revue internationale de la traduction / International Journal of Translation	0521-9744	Editorial Board	Olga Kostikova	0000-0003-3973-459X	Université d’État Lomonossov de Moscou	https://benjamins.com/catalog/babel	2022-01-20
John Benjamins	Babel | Revue internationale de la traduction / International Journal of Translation	0521-9744	Editorial Board	Peter W. Krawutschke	NA	Western Michigan University	https://benjamins.com/catalog/babel	2022-01-20
John Benjamins	Babel | Revue internationale de la traduction / International Journal of Translation	0521-9744	Editorial Board	Benoît Kremer	NA	Association Internationale des Interprètes de Conférence (AIIC)	https://benjamins.com/catalog/babel	2022-01-20
John Benjamins	Babel | Revue internationale de la traduction / International Journal of Translation	0521-9744	Editorial Board	Vlasta Kučiš	NA	University of Maribor	https://benjamins.com/catalog/babel	2022-01-20
John Benjamins	Babel | Revue internationale de la traduction / International Journal of Translation	0521-9744	Editorial Board	Ken-fang Lee	NA	National Taiwan Normal University	https://benjamins.com/catalog/babel	2022-01-20
John Benjamins	Babel | Revue internationale de la traduction / International Journal of Translation	0521-9744	Editorial Board	Marie-Évelyne Le Poder	0000-0002-8848-0699	Universidad de Granada	https://benjamins.com/catalog/babel	2022-01-20
John Benjamins	Babel | Revue internationale de la traduction / International Journal of Translation	0521-9744	Editorial Board	Sihui Mao	NA	Shantou University	https://benjamins.com/catalog/babel	2022-01-20
John Benjamins	Babel | Revue internationale de la traduction / International Journal of Translation	0521-9744	Editorial Board	Jeremy Munday	0000-0001-9870-3668	University of Leeds	https://benjamins.com/catalog/babel	2022-01-20
John Benjamins	Babel | Revue internationale de la traduction / International Journal of Translation	0521-9744	Editorial Board	Daniel Newman	NA	University of Durham	https://benjamins.com/catalog/babel	2022-01-20
John Benjamins	Babel | Revue internationale de la traduction / International Journal of Translation	0521-9744	Editorial Board	Nadia Rodriguez Ortega	0000-0003-3619-4225	Universidad Pontificia Comillas	https://benjamins.com/catalog/babel	2022-01-20
John Benjamins	Babel | Revue internationale de la traduction / International Journal of Translation	0521-9744	Editorial Board	Debra Russell	NA	University of Alberta &amp; University of British Columbia &amp; World Association of Sign Language Interpreters (WASLI)	https://benjamins.com/catalog/babel	2022-01-20
John Benjamins	Babel | Revue internationale de la traduction / International Journal of Translation	0521-9744	Editorial Board	Gabriele Sauberer	NA	TermNet, International Network for Terminology	https://benjamins.com/catalog/babel	2022-01-20
John Benjamins	Babel | Revue internationale de la traduction / International Journal of Translation	0521-9744	Editorial Board	Gabriela Scandura	0000-0002-7443-2012	Asociación Argentina de Traductores e Intérpretes	https://benjamins.com/catalog/babel	2022-01-20
John Benjamins	Babel | Revue internationale de la traduction / International Journal of Translation	0521-9744	Editorial Board	Adriana Şerban	0000-0003-1383-9326	Université Paul-Valéry Montpellier 3	https://benjamins.com/catalog/babel	2022-01-20
John Benjamins	Babel | Revue internationale de la traduction / International Journal of Translation	0521-9744	Editorial Board	Said Shiyab	0000-0002-7453-7586	Kent State University	https://benjamins.com/catalog/babel	2022-01-20
John Benjamins	Babel | Revue internationale de la traduction / International Journal of Translation	0521-9744	Editorial Board	Graciela M. Steinberg	NA	New York University	https://benjamins.com/catalog/babel	2022-01-20
John Benjamins	Babel | Revue internationale de la traduction / International Journal of Translation	0521-9744	Editorial Board	Maurizio Viezzi	0000-0003-2740-0496	University of Trieste &amp; CIUTI	https://benjamins.com/catalog/babel	2022-01-20
John Benjamins	Babel | Revue internationale de la traduction / International Journal of Translation	0521-9744	Editorial Board	Miodrag Vukčević	0000-0002-3562-904X	University of Belgrade	https://benjamins.com/catalog/babel	2022-01-20
John Benjamins	Babel | Revue internationale de la traduction / International Journal of Translation	0521-9744	Editorial Board	Binhua Wang	0000-0003-2404-5214	University of Leeds	https://benjamins.com/catalog/babel	2022-01-20
John Benjamins	Babel | Revue internationale de la traduction / International Journal of Translation	0521-9744	Editorial Board	Jun Xu	NA	Zhejiang University	https://benjamins.com/catalog/babel	2022-01-20
John Benjamins	Belgian Journal of Linguistics	0774-5141	Editor-in-Chief	Timothy Colleman	0000-0002-3723-3807	Universiteit Gent 	https://benjamins.com/catalog/bjl	2022-01-20
John Benjamins	Belgian Journal of Linguistics	0774-5141	Editorial Board	Bert Cornillie	0000-0003-2931-5244	KU Leuven	https://benjamins.com/catalog/bjl	2022-01-20
John Benjamins	Belgian Journal of Linguistics	0774-5141	Editorial Board	Thomas Hoelbeek	NA	Vrije Universiteit Brussel	https://benjamins.com/catalog/bjl	2022-01-20
John Benjamins	Belgian Journal of Linguistics	0774-5141	Editorial Board	Tanja Mortelmans	0000-0001-7448-785X	Universiteit Antwerpen	https://benjamins.com/catalog/bjl	2022-01-20
John Benjamins	Belgian Journal of Linguistics	0774-5141	Editorial Board	Marie Steffens	NA	Université de Liège/Universiteit Utrecht	https://benjamins.com/catalog/bjl	2022-01-20
John Benjamins	Belgian Journal of Linguistics	0774-5141	Editorial Board	Emma Vanden Wyngaerd	0000-0002-4763-3169	Université libre de Bruxelles	https://benjamins.com/catalog/bjl	2022-01-20
John Benjamins	Belgian Journal of Linguistics	0774-5141	Advisory Board	Jean-Claude Anscombre	0000-0002-4132-4453	CNRS-LDI	https://benjamins.com/catalog/bjl	2022-01-20
John Benjamins	Belgian Journal of Linguistics	0774-5141	Advisory Board	Johan van der Auwera	0000-0001-9222-2994	Universiteit Antwerpen	https://benjamins.com/catalog/bjl	2022-01-20
John Benjamins	Belgian Journal of Linguistics	0774-5141	Advisory Board	Hava Bat-Zeev Shyldkrot	NA	Tel Aviv University	https://benjamins.com/catalog/bjl	2022-01-20
John Benjamins	Belgian Journal of Linguistics	0774-5141	Advisory Board	Jacques Bres	NA	Université Paul-Valéry Montpellier III	https://benjamins.com/catalog/bjl	2022-01-20
John Benjamins	Belgian Journal of Linguistics	0774-5141	Advisory Board	Frank Brisard	0000-0002-6265-8321	Universiteit Antwerpen	https://benjamins.com/catalog/bjl	2022-01-20
John Benjamins	Belgian Journal of Linguistics	0774-5141	Advisory Board	Hubert Cuyckens	NA	KU Leuven	https://benjamins.com/catalog/bjl	2022-01-20
John Benjamins	Belgian Journal of Linguistics	0774-5141	Advisory Board	Jean-Pierre Desclés	NA	Université Paris-Sorbonne	https://benjamins.com/catalog/bjl	2022-01-20
John Benjamins	Belgian Journal of Linguistics	0774-5141	Advisory Board	Marc Dominicy	0000-0001-5805-6275	Université libre de Bruxelles	https://benjamins.com/catalog/bjl	2022-01-20
John Benjamins	Belgian Journal of Linguistics	0774-5141	Advisory Board	Anaid Donabedian	NA	INALCO-CNRS	https://benjamins.com/catalog/bjl	2022-01-20
John Benjamins	Belgian Journal of Linguistics	0774-5141	Advisory Board	Ad Foolen	NA	Radboud Universiteit Nijmegen	https://benjamins.com/catalog/bjl	2022-01-20
