editor	role	affiliation	journal	issn	publisher	url	date	orcid
Gregory S. Barsh	Editorial Board	HudsonAlpha Institute of Biotechnology; Stanford University School of Medicine Huntsville, AL; Stanford, CA, USA Email: gbarsh@plos.org	PLOS Genetics	1553-7390	PLOS	https://journals.plos.org/plosgenetics/s/editorial-board	2022-01-18	NA
Gregory P. Copenhaver	Editorial Board	The University of North Carolina at Chapel Hill Chapel Hill, NC, USA Email: gcopenhaver@plos.org	PLOS Genetics	1553-7390	PLOS	https://journals.plos.org/plosgenetics/s/editorial-board	2022-01-18	NA
David J. Kwiatkowski	Editorial Board	Brigham and Women's Hospital, Harvard Boston, MA, USA	PLOS Genetics	1553-7390	PLOS	https://journals.plos.org/plosgenetics/s/editorial-board	2022-01-18	NA
Peter McKinnon	Editorial Board	St Jude Children's Research Hospital Memphis, TN, USA	PLOS Genetics	1553-7390	PLOS	https://journals.plos.org/plosgenetics/s/editorial-board	2022-01-18	NA
Wendy A. Bickmore	Editorial Board	Medical Research Council Human Genetics Unit Edinburgh, UK	PLOS Genetics	1553-7390	PLOS	https://journals.plos.org/plosgenetics/s/editorial-board	2022-01-18	NA
John M. Greally	Editorial Board	Albert Einstein College of Medicine New York, NY, USA	PLOS Genetics	1553-7390	PLOS	https://journals.plos.org/plosgenetics/s/editorial-board	2022-01-18	NA
Kirsten Bomblies	Editorial Board	ETH Zurich Zurich, Switzerland	PLOS Genetics	1553-7390	PLOS	https://journals.plos.org/plosgenetics/s/editorial-board	2022-01-18	NA
Bret Payseur	Editorial Board	University of Wisconsin Madison, WI, USA	PLOS Genetics	1553-7390	PLOS	https://journals.plos.org/plosgenetics/s/editorial-board	2022-01-18	NA
David Balding	Editorial Board	Melbourne Integrative Genomics School of BioSciences and School of Mathematics &amp; Statistics University of Melbourne Melbourne, Australia	PLOS Genetics	1553-7390	PLOS	https://journals.plos.org/plosgenetics/s/editorial-board	2022-01-18	NA
Chengqi Yi	Editorial Board	School of Life Sciences, Peking University Beijing, China	PLOS Genetics	1553-7390	PLOS	https://journals.plos.org/plosgenetics/s/editorial-board	2022-01-18	NA
Hua Tang	Editorial Board	Stanford University Stanford, CA, USA	PLOS Genetics	1553-7390	PLOS	https://journals.plos.org/plosgenetics/s/editorial-board	2022-01-18	NA
Scott M. Williams	Editorial Board	Case Western Reserve University School of Medicine Cleveland, OH, USA	PLOS Genetics	1553-7390	PLOS	https://journals.plos.org/plosgenetics/s/editorial-board	2022-01-18	NA
Claudia Köhler	Editorial Board	Swedish University of Agricultural Sciences (SLU) Uppsala, Sweden	PLOS Genetics	1553-7390	PLOS	https://journals.plos.org/plosgenetics/s/editorial-board	2022-01-18	NA
Li-Jia Qu	Editorial Board	Peking University Beijing, China	PLOS Genetics	1553-7390	PLOS	https://journals.plos.org/plosgenetics/s/editorial-board	2022-01-18	NA
Josep Casadesús	Editorial Board	Universidad de Sevilla Sevilla, Spain	PLOS Genetics	1553-7390	PLOS	https://journals.plos.org/plosgenetics/s/editorial-board	2022-01-18	NA
Lotte Søgaard-Andersen	Editorial Board	Max Planck Institute for Terrestrial Microbiology Marburg, Germany	PLOS Genetics	1553-7390	PLOS	https://journals.plos.org/plosgenetics/s/editorial-board	2022-01-18	NA
Jonathan Flint	Editorial Board	University of California Los Angeles Los Angeles, CA, USAFront Matter Section Editor	PLOS Genetics	1553-7390	PLOS	https://journals.plos.org/plosgenetics/s/editorial-board	2022-01-18	NA
Elizabeth M. C. Fisher	Editorial Board	University College London London, UKReviews Editor	PLOS Genetics	1553-7390	PLOS	https://journals.plos.org/plosgenetics/s/editorial-board	2022-01-18	NA
Petra Anne Levin	Editorial Board	Washington University in St. Louis St. Louis, MI, USAReviews Editor	PLOS Genetics	1553-7390	PLOS	https://journals.plos.org/plosgenetics/s/editorial-board	2022-01-18	NA
Christine Queitsch	Editorial Board	University of Washington Seattle, WA, USAReviews Editor	PLOS Genetics	1553-7390	PLOS	https://journals.plos.org/plosgenetics/s/editorial-board	2022-01-18	NA
Thomas Shafee	Editorial Board	La Trobe University Melbourne, AustraliaTopic Pages Editor	PLOS Genetics	1553-7390	PLOS	https://journals.plos.org/plosgenetics/s/editorial-board	2022-01-18	NA
A. Aziz Aboobaker	Editorial Board	University of Oxford Oxford, UK	PLOS Genetics	1553-7390	PLOS	https://journals.plos.org/plosgenetics/s/editorial-board	2022-01-18	NA
